dopant_spec,element,method,concentration_at%,atmosphere,temperature_C,time_min,photocurrent_uA,dark_current_pA,photo_dark_ratio,sensitivity,vacancy_concentration,measurement_voltage_V,measurement_wavelength_nm,notes,doi,usable_flag
undoped,—,PLD,0.0,O2,650.0,,,,5.437750562820388,1080.0,16.477121254719663,,,R=1080 A/W;D*=1.4e16;VO eng.,DOI:10.1016/j.matlet.2023.133506,ok
undoped,—,PLD,0.0,O2,550.0,,,45800.0,0.850033257689769,,18.69897000433602,5.0,,5V;dark 45.8nA;low O₂ press.,DOI:10.1016/j.physb.2022.413466,ok
undoped,—,PLD,0.0,O2,550.0,,,11.0,3.3010299956639813,,16.744292983122676,5.0,,5V;dark=11pA;best O₂ press.,DOI:10.1016/j.physb.2022.413466,ok
undoped,—,MOCVD+AlN buffer on p-Si(111),0.0,N2+O2,800.0,,,0.045,5.929418925714293,38.8,,3.0,,3V;Id=45fA;R=38.8 A/W,DOI:10.1021/acsami.3c07876,ok
undoped,—,MOCVD homoepitaxy on Sn:Ga₂O₃,0.0,N2+O2,800.0,15.0,,100.0,4.0,0.03,,,,−0.5V;PDCR=1e4,DOI:10.1016/j.optlastec.2025.111168,ok
undoped,—,MOCVD on p-Si,0.0,N2+O2,800.0,,,1.43,3.0,,,0.0,,0V self-powered;Id=1.43pA,DOI:10.1021/acsphotonics.8b00174,ok
undoped,—,MOCVD,0.0,O2,700.0,,,4.0,5.0,,,5.0,,5V;Id~4pA;PDCR~1e5,DOI:10.1038/s41598-018-32412-3,ok
undoped,—,MOCVD on GaN/sapphire,0.0,N2+O2,800.0,,,0.0086,8.0,,,0.0,,0V;Id=8.6±3.4fA;LDR=88.5dB,DOI:10.1021/acsaelm.1c00150,ok
undoped,—,ALD amorphous,0.0,O2,500.0,,,9.43,5.437750562820388,,,10.0,,10V;decay=150ns,MDPI Coatings review,ok
undoped,—,Electrophoretic deposition (EPD),0.0,Ar,,,,12000.0,0.850033257689769,,,,,Id<12nA;PDCR=7.08;UV lamp,DOI:10.1021/acsaom.4c00210,ok
Si:0.023400,Si,RF magnetron sputtering,2.34,Ar,800.0,60.0,1.03,32.2,4.505149978319906,1.146,,15.0,,15V;Iph=Id×PDCR est.,DOI:10.1016/j.vacuum.2024.113564,ok
,Si,Mist-CVD,2.0,air,,,,,6.510545010206612,323.0,,20.0,254.0,20V;254nm;EQE=1.58e5%,DOI:10.1016/j.mssp.2024.108428,exotic_skip
Si:0.023400,Si,RF sputtering on FTO/TiO₂,2.34,Ar,800.0,,,,2.38481918395196,0.00102,,0.0,,0V;self-powered;R=1.02mA/W,DOI:10.1021/acsaelm.3c01332,ok
Si:0.000014,Si,MOCVD,0.00141,N2+O2,800.0,,,,,,17.710963118995277,,,carrier=5.14e17;μ=2 cm²/Vs,MOCVD-TEOS series,ok
Si:0.000027,Si,MOCVD,0.00275,N2+O2,800.0,,,,,,18.0,,,SBD Vbr=497V;BFOM=1.16 kW/cm²,MOCVD-TEOS series,ok
Si:0.000549,Si,MOCVD,0.0549,N2+O2,800.0,,,,,,19.30102999566398,,,highest carrier;μ slightly↓,MOCVD-TEOS series,ok
,Si,MOCVD on N:β-Ga₂O₃,,N2+O2,800.0,,,,,,,,,Normally-off phototransistor;2025,DOI:10.1016/j.apsusc.2025.162368,no_conc
undoped,—,RF magnetron co-sputtering,0.0,Ar,800.0,,0.09,,1.591064607026499,0.67,15.69897000433602,10.0,254.0,10V;254nm;100μW/cm²,DOI:10.3390/ma17133227,ok
Sn:0.021000,Sn,RF magnetron co-sputtering,2.1,Ar,800.0,,0.72,,1.977723605288848,5.13,16.30102999566398,10.0,254.0,10V;254nm,DOI:10.3390/ma17133227,ok
Sn:0.036000,Sn,RF magnetron co-sputtering,3.6,Ar,800.0,,1.17,,2.008600171761917,8.3,16.69897000433602,10.0,254.0,10V;254nm,DOI:10.3390/ma17133227,ok
Sn:0.041000,Sn,RF magnetron co-sputtering,4.1,Ar,800.0,,2.72,26900.0,2.004321373782642,19.25,17.0,10.0,,10V;Id=Iph/PDCR est.,DOI:10.3390/ma17133227,ok
Sn:0.005000,Sn,CVD (tube furnace),0.5,N2,1250.0,,,0.04,0.6989700043360189,,15.0,50.0,,50V;R=0.2mA/W;decay=207ms,DOI:10.1016/j.apsusc.2019.144975,ok
Sn:0.050000,Sn,CVD (tube furnace),5.0,N2,1250.0,,,2.57,1.4913616938342726,0.08,17.69897000433602,50.0,,50V;R=80mA/W;decay=22ms,DOI:10.1016/j.apsusc.2019.144975,ok
Sn:0.020000,Sn,CVD microwire,2.0,N2,1050.0,,,1700.0,3.397940008672037,12.0,16.0,10.0,254.0,10V;254nm;R=12 A/W;EQE=5887%,DOI:10.1016/j.jmst.2022.05.027,ok
Sn:0.020000,Sn,MOCVD on p-GaN,2.0,N2+O2,800.0,,,18.0,4.0,3.05,,,254.0,254nm;self-powered,ACS Omega 2024 review,ok
Sn:0.030000,Sn,RF magnetron sputtering,3.0,Ar:O2=1:1,800.0,,,1.14,2.909556029241175,,,,,dark=1.14pA;Ip/Id=812,DOI:10.1016/j.jallcom.2021.162551,ok
Sn:0.050000,Sn,Sol-gel+RTA,5.0,air,700.0,,,,2.909556029241175,,,,,Built-in field;PEC PD,DOI:10.1007/s40843-025-3757-2,ok
Sn:0.000027,Sn,EFG melt growth,0.0027,inert,1800.0,,,,,,18.0,,,Used as substrate,Novel Crystal Technology,ok
Sn:0.010000,Sn,RF magnetron sputtering,1.0,Ar,900.0,,,,3.03342375548695,,,,,PDCR=1.08e3;fast 0.66/1.95s,SSRN:5149855,ok
Sn:0.050000,Sn,RF magnetron sputtering,5.0,Ar,900.0,,,,2.6989700043360187,,,,,Max Sn4+/lattice-O ratio,SSRN:5149855,ok
Sn:0.080000,Sn,RF magnetron sputtering,8.0,Ar,900.0,,,,2.0,,,,,Excess ion bombardment,SSRN:5149855,ok
Mg:0.050000,Mg,RF magnetron sputtering,5.0,Ar,800.0,60.0,0.036,4.1,3.939519252618618,0.0238,,10.0,,10V;sensitivity=8.7e5%,DOI:10.1016/j.matlet.2017.08.032,ok
Mg:0.004800,Mg,RF magnetron sputtering,0.48,Ar,800.0,60.0,,,2.0,,16.69897000433602,,,Hu 2025 S1,DOI:10.1016/j.surfcoat.2025.131940,ok
Mg:0.010100,Mg,RF magnetron sputtering,1.01,Ar,800.0,60.0,,,3.0,1.97,16.30102999566398,30.0,,30V;R=1.97 A/W;best crystal,DOI:10.1016/j.surfcoat.2025.131940,ok
Mg:0.021800,Mg,RF magnetron sputtering,2.18,Ar,800.0,60.0,,,1.6989700043360187,,16.0,,,Highest conc;deteriorated,DOI:10.1016/j.surfcoat.2025.131940,ok
undoped,Mg,MBE,0.0,O2_plasma,550.0,120.0,,,2.0,,17.0,,,Mg source off,DOI:10.1016/j.apsusc.2025.169433,ok
Mg:0.025000,Mg,MBE,2.5,O2_plasma,550.0,120.0,,,4.0,,16.69897000433602,,,Mg 320°C source,DOI:10.1016/j.apsusc.2025.169433,ok
Mg:0.055000,Mg,MBE,5.5,O2_plasma,550.0,120.0,,,5.698970004336019,,15.30102999566398,,,Mg 335°C source,DOI:10.1016/j.apsusc.2025.169433,ok
Mg:0.078000,Mg,MBE,7.8,O2_plasma,550.0,120.0,,0.9,7.113943352306837,41.6,13.954242509439323,,254.0,254nm;rise/decay=22.9/2.9ms,DOI:10.1016/j.apsusc.2025.169433,ok
Mg:0.030000,Mg,PLD,3.0,O2,650.0,,,,4.113943352306837,,,,,I254/Idark=1.3e4,ACS Omega 2024 review,ok
Mg:0.020000,Mg,RF magnetron sputtering+AlN,2.0,Ar,800.0,,,120.0,3.342422680822206,2.17,,10.0,,10V;2μW/cm²;MISIM,DOI:10.3390/coatings15111312,ok
Mg:0.015000,Mg,PLD on MgO substrate,1.5,O2,650.0,,60.3,,3.3010299956639813,,,,,Iph=6.03e-5 A;ACS AEM 2025,DOI:10.1021/acsaelm.5c02383,ok
,Mg,Hydrothermal,,wet,180.0,,,,,,,,,PEC self-powered;Adv.Sci.2025,DOI:10.1002/advs.202413074,exotic_skip
Zn:0.030000,Zn,RF magnetron sputtering,3.0,Ar,800.0,60.0,,,2.1760912590556813,,,,,lower dark vs pure,DOI:10.1007/s13391-017-7072-y,ok
Zn:0.005000,Zn,RF magnetron sputtering,0.5,Ar,800.0,60.0,,,1.6989700043360187,,,,,bandgap 4.87 eV,ResearchGate Struct.Opt.Zn,ok
Zn:0.020000,Zn,RF magnetron sputtering,2.0,Ar,800.0,60.0,,,2.4771212547196626,,,,,bandgap 4.87→4.87 eV;improved PD,ResearchGate Struct.Opt.Zn,ok
Zn:0.082000,Zn,Spatial ALD,8.2,O2,400.0,60.0,5.25,0.00071,6.869231719730976,,,,,Iph=Id×PDCR est.,DOI:10.1016/j.surfcoat.2025.131691,ok
Zn:0.170000,Zn,ALD,17.0,O2,,,,59.0,4.845098040014257,17.6,15.69897000433602,,,15nm film,DOI:10.1016/j.apsusc.2019.01.177,ok
Zn:0.170000,Zn,ALD,17.0,O2,,,,0.222,6.460897842756548,0.104,15.0,,,Id=0.222pA;R=104mA/W,DOI:10.1016/j.apsusc.2019.01.177,ok
Zn:0.020000,Zn,MOCVD,2.0,O2,600.0,60.0,,37.0,6.460897842756548,2800.0,,,,R=2800 A/W;D*=5.9e16,ref review,ok
Zn:0.030000,Zn,MOCVD on ZnGa₂O₄,3.0,N2+O2,900.0,,,0.635,7.071882007306125,72.35,,20.0,254.0,20V;254nm;decay=8ms,DOI:10.1016/j.jallcom.2023.171596,ok
Zn:0.600000,Zn,Spray pyrolysis,60.0,air,500.0,,,,7.071882007306125,3.93,,,,β at 60% Zn;R=3.93 A/W,DOI:10.1016/j.jallcom.2023.170169,ok
,Zn,PLD+O₂ FTF anneal,3.0,O2,650.0,,,0.75,8.301029995663981,,,10.0,,10V;D*=1.7e16;rejection=2e8,DOI:10.1039/D3TC03599A,exotic_skip
Zn:0.020000,Zn,MOCVD,2.0,N2+O2,800.0,,,,8.301029995663981,,,,,TiN buffer;Appl.Surf.Sci. 2025,DOI:10.1016/j.apsusc.2024.161509,ok
N:0.053000,N,RF magnetron sputtering,5.3,Ar,900.0,120.0,,,6.662757831681574,0.27,,10.0,,EQE=132.5%;10V,DOI:10.1039/D3TC00345K,ok
N:0.020000,N,RF magnetron sputtering,2.0,Ar,25.0,180.0,,,1.6989700043360187,,,,,RT dep+anneal,DOI:10.1016/j.apsusc.2023.157519,ok
N:0.035000,N,RF magnetron sputtering,3.5,Ar+N2,600.0,180.0,,,2.6989700043360187,,16.193124598354462,,,600°C dep+anneal,DOI:10.1016/j.apsusc.2023.157519,ok
,N,RF magnetron sputtering,,Ar+N2,700.0,180.0,,,6.662757831681574,0.27,,,,700°C best;PDCR=4.6e6,DOI:10.1016/j.apsusc.2023.157519,no_conc
N:0.040000,N,RF magnetron sputtering,4.0,O2,800.0,180.0,,,7.414973347970818,,,,,PDCR=2.6e7;rejection=1e6,DOI:10.1016/j.apsusc.2022.154713,ok
N:0.000020,N,HVPE,0.002,N2+O2,800.0,,475.0,,1.3010299956639813,,16.30102999566398,,,300-425V;CW visible;gain×20,arXiv:2601.15555,ok
N:0.025000,N,Sol-gel,2.5,N2,700.0,,,,,,16.69897000433602,,,MSSP 2024,DOI:10.1016/j.mssp.2024.107955,ok
undoped,H,RF magnetron sputtering,0.0,Ar,,15.0,,,2.0,,17.69897000433602,,,Baseline;no H,DOI:10.1088/2752-5724/ad19e1,ok
H:0.005000,H,RF magnetron sputtering,0.5,Ar+H2,,15.0,1370.0,51.7,7.423245873936808,,16.0,5.0,,5V;Iph=1.37mA;flex.PEN,DOI:10.1088/2752-5724/ad19e1,ok
H:0.010000,H,RF magnetron sputtering,1.0,Ar+H2,,15.0,,,5.698970004336019,,16.69897000433602,,,Medium H flux,DOI:10.1088/2752-5724/ad19e1,ok
H:0.020000,H,RF magnetron sputtering,2.0,Ar+H2,,15.0,,,4.0,,17.30102999566398,,,Excess H;performance degrades,DOI:10.1088/2752-5724/ad19e1,ok
B:0.020000,B,RF magnetron sputtering,2.0,Ar:O2=3:1,,30.0,,2730000000.0,1.0,,,5.0,,dark=2.73e-3 A@5V;bandgap 5.07-5.19eV,DOI:10.1016/j.surfcoat.2025.131891,ok
Sb:0.020000,Sb,RF magnetron sputtering,2.0,Ar,800.0,,,,3.204119982655925,0.21,,0.0,,0V;R=210mA/W;EQE=103%,DOI:10.1016/j.optmat.2023.114431,ok
Ta:0.005000,Ta,MOCVD,0.5,N2+O2,800.0,,,,3.0,8.67,,,222.0,222nm;rise/decay=86/50ms,ACS Omega 2024 review,ok
Ta:0.005000,Ta,MOCVD,0.5,N2+O2,800.0,,0.01,0.1,5.0,,,,255.0,−6V;255nm;Iph=10nA,DOI:10.1007/s00339-026-09375-8,ok
,Ta,MOCVD on SrTiO₃(100),,O2,750.0,,,,,,,,,Ta donor epi;MSSP 2021,DOI:10.1016/j.mssp.2021.105749,no_conc
Al:0.150000,Al,PE-ALD,15.0,O2,,,,,2.6989700043360187,,,,,DUV;tunable,ResearchGate review,ok
,Al+Ga,RF magnetron sputtering+AZO,10.0,Ar,700.0,,,,3.0,1.25,,,254.0,Flexible mica;254nm,DOI:10.1016/j.jmst.2024.08.012,exotic_skip
,Al+Ga,ALD amorphous,20.0,O2,,,,,2.6989700043360187,,,,220.0,Deeper UV;220nm,DOI:10.1016/j.ceramint.2024.03.110,exotic_skip
Cu:0.034000,Cu,CVD,3.4,Ar,1000.0,,,,4.424881636631106,,,10.0,254.0,Single p-type Cu microwire,DOI:10.1016/j.mssp.2025.109370,ok
,Ge,MBE,,O2,700.0,,,,,,17.785329835010767,,,μ=111 cm²/Vs;2DEG,DOI:10.1021/acsomega.2c03345,no_conc
,Fe,EFG melt growth,,inert,1800.0,,,,,,17.0,,,Fe-doped (010) substrate,DOI:10.1021/acsomega.2c03345,no_conc
,Bi+Cu,RF magnetron sputtering,,Ar:O2=1:1,800.0,,,,,,,,,Bandgap 4.97→3.80 eV;weak p-type,DOI:10.1021/acsaelm.3c01332 ref,no_conc
"Mg:0.015000,N:0.015000",Mg+N,PLD,3.0,N2O,650.0,,,,5.416640507338281,,,,,sensitivity=2.61e5;decay=20ms,DOI:10.1016/j.mssp.2024.108361,ok
,In+Zn,CVD,25.0,Ar+air,1000.0,,,,4.643452676486188,440.42,,,,In:Ga:Zn=1:2:1;R=440.42 A/W,DOI:10.1016/j.jallcom.2023.170290,exotic_skip
,In+Al,CVD on p-GaN,15.0,Ar,1000.0,,0.016,15.0,3.0,0.00094,14.477121254719664,0.0,265.0,0V;265nm;R=0.94mA/W,PMC11258963,exotic_skip
,Zn+Ga,MOCVD+annealing,14.3,O2,700.0,,,1.0,7.0,86.3,,5.0,230.0,5V;230nm;R=86.3 A/W,DOI:10.1038/s41598-018-32412-3,exotic_skip
,Zn+Ga,MOCVD,14.3,N2+O2,800.0,,,,1.0,2782.0,19.0,,,dark=0.5mA;R=2782 A/W,DOI:10.1038/s41598-018-32412-3,exotic_skip
,Zn+Ga,PEALD,12.0,O2,,,,0.00045,7.342422680822207,34.31,,,,TFT type;gate-controlled Id,DOI:10.1016/j.apsusc.2023.158031,exotic_skip
,Zn+Ga,ALD,17.0,O2,,,,,3.6989700043360174,,,,,Bandgap 3.9-5.0eV,DOI:10.1021/acsmaterialslett.3c00559,exotic_skip
,In+Ga,PECVD+Pt sputtering,10.0,O2,,,,,2.0,0.353,,,,R=353mA/W;EQE=173%;D*=1e13,DOI:10.1007/s11431-024-2660-1,exotic_skip
,Zn+Ga,RF magnetron sputtering,,Ar:O2=1:1,700.0,,,,,,,,,Combinatorial deep UV,DOI:10.1016/j.apsusc.2023.158031,exotic_skip
,—,MOCVD+Mo buffer,0.0,N2+O2,700.0,,,,3.0,234.14,,,,ε-Ga2O3 on Si/AlN;R=234.14 A/W,ε-PMC review 2025,exotic_skip
,—,MBE on mica,0.0,O2,680.0,,,,7.220108088040055,703.0,,,,Flexible;R=703 A/W;D*=4.08e14,DOI:10.1021/acsami.2c06550,exotic_skip
,Sn,Mist-CVD α-phase,,air,650.0,,,,,,,,,Sn-assisted α-phase,DOI:10.1109/JSEN.2024.3497006,exotic_skip
,—,Hydrothermal+anneal,0.0,N2,400.0,,,,3.0,,,,,Self-powered;spectrum-selective,DOI:10.1021/acsanm.9b00527,exotic_skip
,Zr,PLD,2.0,O2,600.0,,,,7.220108088040055,,14.0,,,Sn-assisted Zr-doped ε-phase,ε-PMC review 2025,exotic_skip
,—,Spray pyrolysis HJ,0.0,air,500.0,,,,,0.0477,,,,FTO/Ga₂O₃;R=47.72mA/W;D*=3.34e8,DOI:10.1016/j.rsc.2025.02694,exotic_skip
undoped,—,PLD+CuPc solution,0.0,O2,650.0,,,,3.568201724066995,,,0.0,,0V;20ms response,DOI:10.1021/acsanm.2c05499,ok
undoped,—,MOCVD+GaSe exfoliation,0.0,O2,800.0,,,,4.0,51.9,,,,0.3ms;51.9 A/W;D*=1e14,DOI:10.1021/acsphotonics.1c00015,ok
undoped,—,MOCVD+seawater electrolyte,0.0,wet,,,6.7,,3.668665415454492,0.02347,,0.0,213.0,0V;213nm;seawater,DOI:10.1021/acsnano.3c08814,ok
undoped,—,MOCVD on GaN/sapphire,0.0,N2+O2,800.0,,,0.0086,,,,0.0,,0V;Id=8.6fA;LDR=88.5dB,DOI:10.1021/acsaelm.1c00150,ok
undoped,—,RF magnetron sputtering on p-Si,0.0,Ar,800.0,,,1.43,3.0,,,0.0,,0V;DUV;Id=1.43pA,DOI:10.1021/acsphotonics.8b00174,ok
undoped,—,PE-ALD,0.0,O2_plasma,50.0,,,,2.0,22.06,17.0,,,0 at% Mg;R=22.06 A/W,DOI:10.1016/j.mssp.2021.106471,ok
Mg:0.019100,Mg,PE-ALD,1.91,O2_plasma,50.0,,,,1.9030899869919435,10.24,16.69897000433602,,,1.91 at%;R=10.24 A/W,DOI:10.1016/j.mssp.2021.106471,ok
Mg:0.032800,Mg,PE-ALD,3.28,O2_plasma,50.0,,,,1.6989700043360187,6.89,16.30102999566398,,,3.28 at%;R=6.89 A/W,DOI:10.1016/j.mssp.2021.106471,ok
Mg:0.052200,Mg,PE-ALD,5.22,O2_plasma,50.0,,,,1.3010299956639813,1.67,16.0,,220.0,5.22 at%;R=1.67 A/W;cut-off 220nm,DOI:10.1016/j.mssp.2021.106471,ok
Mg:0.049200,Mg,RF magnetron sputtering,4.92,Ar,800.0,60.0,,4.1,3.6989700043360174,,14.69897000433602,,,Id=4.1pA;Qian2017 series,DOI:10.1016/j.matlet.2017.08.032,ok
Mg:0.068800,Mg,RF magnetron sputtering,6.88,Ar,800.0,60.0,,4.1,3.903089986991944,,14.477121254719664,,,Best quality in Qian series,DOI:10.1016/j.matlet.2017.08.032,ok
Mg:0.085800,Mg,RF magnetron sputtering,8.58,Ar,800.0,60.0,,4.1,3.778151250383644,,14.30102999566398,,,Highest Mg in Qian series,DOI:10.1016/j.matlet.2017.08.032,ok
Mg:0.010000,Mg,ALD,1.0,O2,,,,4.9e-06,6.986771734266245,0.0132,,,,5% MgO cycle;Id=4.9fA;rise/decay=74.7/45.7ms,DOI:10.1016/j.apsusc.2023.155000,ok
Mg:0.007200,Mg,RF magnetron sputtering,0.72,Ar,800.0,60.0,,,,,,,,S2 series Hu 2025,DOI:10.1016/j.surfcoat.2025.131940,ok
Mg:0.014500,Mg,RF magnetron sputtering,1.45,Ar,800.0,60.0,,,,,,,,S4 series Hu 2025,DOI:10.1016/j.surfcoat.2025.131940,ok
,Al+Ga,MOCVD on p-GaN,38.0,N2+O2,850.0,,,,2.0,0.045,16.0,,218.0,bandgap 5.93eV;218nm det.,DOI:10.1016/j.apsusc.2024.159234,exotic_skip
undoped,—,PECVD+O₂ plasma,0.0,O2_plasma,,,0.067,,0.7846172926328754,,,0.0,,0V;11→67nA;VO 44.5→27.3%,DOI:10.1016/j.apsusc.2022.154713,ok
undoped,—,PLD on Nb:SrTiO₃,0.0,O2,650.0,,,,2.0,43.31,17.0,,,−10V;45μW/cm²;R=43.31 A/W,NSTO HJ review ref,ok
undoped,—,LPCVD,0.0,N2+O2,800.0,,,,,,,,,Various substrates,PMC11396281,ok
Zn:0.050000,Zn,RF magnetron sputtering,5.0,Ar,800.0,60.0,,,,,,,,Best % in Guo 2017 series,DOI:10.1007/s13391-017-7072-y,ok
Si:0.000055,Si,MBE on Fe:Ga₂O₃,0.0055,O2,700.0,,,,,,18.30102999566398,,,65nm Si channel;full-wave rectifier,GOX2023,ok
,Fe,MOCVD+Fe implantation,,N2+O2,800.0,,,,,,,,,Fe implant;minimal leakage reduction,PMC11396281,no_conc
Mg:0.015000,Mg,PLD on Al₂O₃,1.5,O2,650.0,,1.06,,4.842609239610562,0.09,,10.0,401.0,401nm;Iph=1.06μA@10V;PDCR=6.96e4,ResearchGate 2022 Mg-doped β-Ga2O3-δ,ok
,—,MOCVD,0.0,N2O,700.0,,,,3.0,,,,,H₂O oxygen src;PDCR=1e3;rise=0.55s,ε-PMC review 2025,exotic_skip
undoped,—,Thermal oxidation,0.0,air,900.0,,,,3.0,3.3,,,,R=3.3 A/W;D*=4.0e12;EQE=1600%,ACS Omega 2024 review,ok
Sn:0.020000,Sn,CVD tube furnace,2.0,N2,1250.0,,,1.0,1.0,0.04,,,,Medium Sn;dark=1pA;R~40mA/W,DOI:10.1016/j.apsusc.2019.144975,ok
,Zn+Ga,MOCVD,14.3,N2+O2,800.0,,,1000000.0,0.0,,,,,x=0 pure Ga₂O₃;Sci.Rep.2018,DOI:10.1038/s41598-018-32412-3,exotic_skip
undoped,—,PLD,0.0,O2,650.0,,,,,,,,,Carrier=5.55e16;best crystal,DOI:10.1016/j.physb.2022.413466,ok
Sn:0.050000,Sn,RF magnetron sputtering,5.0,Ar,,,,,0.6989700043360189,,,,,amorphous;no anneal;high dark;low response,J.Semicond.44(6):062805 2023,ok
Sn:0.050000,Sn,RF magnetron sputtering+N₂,5.0,N2,900.0,60.0,,,3.3010299956639813,,,,254.0,Best response to 254nm;N₂ atm anneal,J.Semicond.44(6):062805 2023,ok
Sn:0.050000,Sn,RF magnetron sputtering+air,5.0,air,900.0,60.0,,,2.6989700043360187,,,,,Air anneal;less sharp crystallization,J.Semicond.44(6):062805 2023,ok
Sn:0.072000,Sn,Sol-gel (spin-coat),7.2,air,600.0,,,760.0,2.0,,,,,dark=0.76nA;PL↑,chalcogen.ro Xu et al.,ok
Sn:0.144000,Sn,Sol-gel (spin-coat),14.4,air,600.0,,,760.0,2.3010299956639813,,,,,dark=0.76nA;optimal compact,chalcogen.ro Xu et al.,ok
Sn:0.216000,Sn,Sol-gel (spin-coat),21.6,air,600.0,,,760.0,2.6989700043360187,,,,,high ratio;PL substantial increase,chalcogen.ro Xu et al.,ok
Sn:0.288000,Sn,Sol-gel (spin-coat),28.8,air,600.0,,,760.0,2.4771212547196626,,,,,28.8% highest conc. in series,chalcogen.ro Xu et al.,ok
Sn:0.015000,Sn,MOCVD (e-mode phototransistor),1.5,N2+O2,800.0,,,1.84,3.0,,,,210.0,<10nm channel;VG=0;e-mode;210nm,DOI:10.3390/s24175822,ok
undoped,—,CVD on patterned sapphire (PSS),0.0,N2+O2,800.0,,,,4.0,106.5,,,,(510) preferred;R=106.5 A/W;D*=1.36e13,DOI:10.1364/OL.551038,ok
undoped,—,MBE on c-sapphire (Ni/Au),0.0,O2_plasma,700.0,,4.9,4000.0,3.0,1.5,15.69897000433602,20.0,236.0,20V;236nm;Iph=4.9μA;Id<4nA;no PPC,arXiv:1702.04470,ok
undoped,—,Electrospinning+high-T phase transform,0.0,air,1000.0,,0.761,,2.16790781000148,0.0225,,20.0,254.0,20V;254nm;strain stable;Sci.Rep.2025,DOI:10.1038/s41598-025-02563-1,ok
undoped,—,Mist-CVD,0.0,air,800.0,,,14.0,5.0,150.0,,20.0,254.0,20V;254nm;R>150 A/W;dark<14pA;EQE=7.4e4%,PMC:11489483,ok
undoped,—,Mist-CVD,0.0,air,800.0,,,,,22000.0,,,254.0,"R=22,000 A/W;D*=1.1e16;254nm",PMC:11489483,ok
