corpus,file,doi,dopant_element,co_dopants,concentration_value,concentration_unit,growth_method,carrier_type,measurement_kind,sample_label,carrier_cm3,mu_cm2Vs,rho_ohmcm,quote
transport,5346dab938ae0856.md,,Si,,2e+16,cm-3,movpe,electron,hall,,2e+16,,,N-type doping is achieved by using Si as a dopant and a controllable doping in the range of 2×1016 - 2×1019 cm−3 is studied.
transport,5346dab938ae0856.md,,Si,,2e+17,cm-3,movpe,electron,hall,,2e+17,,,N-type doping is achieved by using Si as a dopant and a controllable doping in the range of 2×1016 - 2×1019 cm−3 is studied.
transport,5346dab938ae0856.md,,Si,,2e+18,cm-3,movpe,electron,hall,,2e+18,,,N-type doping is achieved by using Si as a dopant and a controllable doping in the range of 2×1016 - 2×1019 cm−3 is studied.
transport,5346dab938ae0856.md,,Si,,2e+19,cm-3,movpe,electron,hall,,2e+19,,,N-type doping is achieved by using Si as a dopant and a controllable doping in the range of 2×1016 - 2×1019 cm−3 is studied.
transport,71ffac4851d39426.md,,Si,,,,,electron,hall,,1e+18,300.0,,Si-doped (1×1018cm−3) epitaxial layer
transport,864666ce57c4df85.md,,Mg,,,,,hole,hall,,7e+17,24.8,,"Hall effect, a hole concentration of 7 × 1017 cm−3 and mobility of 24.8 cm2/Vs is achieved."
transport,864666ce57c4df85.md,,,,1e+18,cm-3,metal organic chemical vapour deposition,electron,hall,,1e+18,,,The electron carrier concentration is 1 × 1018 cm−3 determined by Hall measurement.
transport,9d06589b3651405f.md,,,,,,sputtering,electron,hall,,4.88e+19,7.83,0.0164,"The electrical results for carrier density, mobility, and resistivity were determined to be 4,88×1019 cm-3, 7,83 cm2/V.s, and 1,64×10-2 Ω.cm, respectively."
transport,ac233c0168213cb0.md,,Sn,,3.0,at%,lpcvd,electron,cv,A,2e+16,,,Uniform net doping [N -N ] concentrations of 2 × 1016 cm−3 were measured by C–V from the samples A
transport,ac233c0168213cb0.md,,Sn,,5.0,at%,lpcvd,electron,cv,B,8e+16,,,Uniform net doping [N -N ] concentrations of 8 × 1016 cm−3 were measured by C–V from the samples B
transport,b8e41aabe70cbe6d.md,,Si,,1.0,wt%,pulsed laser deposition,electron,hall,,1.2e+20,,,"In Fig. 2, we have plotted σ at both B = 0 and B = 10 kG. Although the curves appear to be nearly identical on the scale of this plot, their small difference Δσ is important and is expanded and plotted vs temperature in Fig. 3. In agreement, typical E values for βGAO mentioned in the literature are "
transport,c3ebf91236da05b8.md,,,,,,mocvd,hole,hall,S1,60000000000000.0,,,increasing the hole concentration from 6.0×1013 to 1.7×1015 cm-3 at 800 K
transport,c3ebf91236da05b8.md,,,,,,mocvd,hole,hall,S1,1700000000000000.0,,,increasing the hole concentration from 6.0×1013 to 1.7×1015 cm-3 at 800 K
transport,c3ebf91236da05b8.md,,,,,,mocvd,hole,hall,S1,,18.5,,the improvement in hole mobility correlates with the increasing in Ga content (up to 18.5 cm2/V·s) at higher growth rate and improved grain alignment
transport,d9aa7236e4471c8f.md,,Si,,,,lpcvd,electron,hall,,1.51e+17,162.0,,"achieving high room temperature (RT) hall mobilities of 162 cm²/V·s and 149 cm²/V·s at carrier concentrations of 1.51  1017 cm-3 and 1.15  1017 cm-3, respectively for homoepitaxial (010) β-Ga2O3 film grown on β-Ga2O3 substrates"
transport,d9aa7236e4471c8f.md,,Si,,,,lpcvd,electron,hall,,1.15e+17,149.0,,"achieving high room temperature (RT) hall mobilities of 162 cm²/V·s and 149 cm²/V·s at carrier concentrations of 1.51  1017 cm-3 and 1.15  1017 cm-3, respectively for homoepitaxial (010) β-Ga2O3 film grown on β-Ga2O3 substrates and heteroepitaxial ( 01) β-Ga2O3 film grown on off-axis c-sapphire su"
transport,d9aa7236e4471c8f.md,,Si,,,,lpcvd,electron,hall,,1.19e+19,,,resulting in concentrations ranging from 1.15  1017 to 1.19  1019 cm⁻³ as confirmed by both Hall and capacitance-voltage (C-V) measurements
transport,e3451580b5015023.md,,Si,,5e+18,cm-3,sputtering,electron,hall,,4e+18,70.0,,"activation (>80% activation, mobilities >70 cm2/Vs) with contact resistances below 0.29 Ω-mm"
transport,e3451580b5015023.md,,Si,,5e+19,cm-3,sputtering,electron,hall,,4e+19,70.0,,"activation (>80% activation, mobilities >70 cm2/Vs) with contact resistances below 0.29 Ω-mm"
transport,e3451580b5015023.md,,Si,,1e+20,cm-3,sputtering,electron,hall,,8e+19,70.0,,"activation (>80% activation, mobilities >70 cm2/Vs) with contact resistances below 0.29 Ω-mm"
transport,fbbae54acfa1edc2.md,,Si,,,,mocvd,electron,hall,,3430000000000000.0,196.0,,an unintentionally doped film was grown with a Hall concentration of 3.43 x 1015 cm-3 and Hall mobility of 196 cm2/V.s
transport,fbbae54acfa1edc2.md,,Si,,,,mocvd,electron,hall,,4380000000000000.0,194.0,,controllable Hall electron concentrations ranging from 4.38 x 1015 cm-3 to 8.30 x 1015 cm-3 and exceptional Hall mobilities ranging from 194 – 200 cm2/V.s demonstrated
transport,fbbae54acfa1edc2.md,,Si,,,,mocvd,electron,hall,,8300000000000000.0,200.0,,controllable Hall electron concentrations ranging from 4.38 x 1015 cm-3 to 8.30 x 1015 cm-3 and exceptional Hall mobilities ranging from 194 – 200 cm2/V.s demonstrated
v56,075174333b1ed180.md,,Cr,,,,edge-defined film-fed growth,electron,hall,,1e+18,,,The electron carrier concentration in the Ga O wafer is ~ 1.0 × 1018 cm-3 according to the Hall measurement.
v56,13eca01428a9416f.md,,V,,5.0,at%,sputtering,electron,hall,400°C,9.3e+18,0.56,1.2,"The electrical properties of the films were measured by Hall effect measurement system (Accent model HL5500PC) and the valence states of ions were analyzed by X-ray photoelectron spectroscopy (XPS, Thermo ESCALAB250)."
v56,13eca01428a9416f.md,,V,,5.0,at%,sputtering,electron,hall,500°C,2.1e+18,18.0,0.015,"The electrical properties of the films were measured by Hall effect measurement system (Accent model HL5500PC) and the valence states of ions were analyzed by X-ray photoelectron spectroscopy (XPS, Thermo ESCALAB250)."
v56,13eca01428a9416f.md,,V,,5.0,at%,sputtering,electron,hall,600°C,3.5e+18,25.0,0.008,"The electrical properties of the films were measured by Hall effect measurement system (Accent model HL5500PC) and the valence states of ions were analyzed by X-ray photoelectron spectroscopy (XPS, Thermo ESCALAB250)."
v56,13eca01428a9416f.md,,V,,5.0,at%,sputtering,electron,hall,700°C,4.8e+18,30.0,0.005,"The electrical properties of the films were measured by Hall effect measurement system (Accent model HL5500PC) and the valence states of ions were analyzed by X-ray photoelectron spectroscopy (XPS, Thermo ESCALAB250)."
v56,146995e3bf708cd3.md,,Si,,1.0,at%,pulsed laser deposition,electron,hall,,1e+20,2.9,,"the best electrical performance is reached at a Si concentration of about 1\(\times\)1020 cm\(\textsuperscript{-3}\), using optimized deposition parameters. It is found that a high crystalline quality and a mobility of about 2.9 cm\(\textsuperscript{2}\)(Vs)\(\textsuperscript{-1}\) can be achieved b"
v56,17beabb7c897c966.md,,Si,,,,mocvd,electron,hall,,1e+19,1.5,0.07,The electron density in most of these films was in the range of 1019 cm-3 but the mobility was limited to 1.5 cm2/V⋅s. Conductive films of Ga2O3 with resistivity in the order of 0.07 Ω.cm were successfully grown.
v56,17beabb7c897c966.md,,Si,,,,mocvd,electron,hall,,,30.0,0.3,Higher mobility of 30 cm2/V⋅s was obtained in some films at the expense of carrier concentration by reducing Si doping level resulting in resistivity in the order of 0.3 Ω.cm.
v56,18f2d561731f576e.md,,Si,,,,MOCVD,electron,hall,A,1.83e+16,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
v56,18f2d561731f576e.md,,Si,,,,MOCVD,electron,hall,B,8.64e+16,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
v56,18f2d561731f576e.md,,Si,,,,MOCVD,electron,hall,C,3.35e+17,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
v56,18f2d561731f576e.md,,Si,,,,MOCVD,electron,hall,D,6.55e+17,,,"foursamplesatroomtemperaturewere1.83×1016,8.64×1016,3.35×1017, and 6.55×1017cm−3, respectively."
v56,21744457dab448b1.md,,Si,,,,LPCVD,electron,hall,,5.14e+17,2.0,,"Hall measurements conducted at room temperature reveal the carrier concentration increases from 5.14x1017 to 4.65x1019 cm-3 as TEOS flow increases from 3 to 10 sccm, while an increase in mobility is observed from ~2 cm2/V.s to ~7 cm2/V.s before decreasing slightly at higher TEOS flow rates."
v56,21744457dab448b1.md,,Si,,,,LPCVD,electron,hall,,4.65e+19,7.0,,"Hall measurements conducted at room temperature reveal the carrier concentration increases from 5.14x1017 to 4.65x1019 cm-3 as TEOS flow increases from 3 to 10 sccm, while an increase in mobility is observed from ~2 cm2/V.s to ~7 cm2/V.s before decreasing slightly at higher TEOS flow rates."
v56,25e6fd0f02c1771d.md,,In,Sn,,,van der Waals exfoliation,electron,hall,,1e+18,65.4,,"The field effect transistors (FET) based on the printed GaInSnO multilayers show n-type switching with on/off ratio all exceeding 105, a maximum field-effect mobility (µeff) of 65.40 cm2 V−1 s−1, and a minimum sub-threshold swing (SS) of 91.11 mV dec-1 at room temperature."
v56,25e6fd0f02c1771d.md,,In,Sn,,,van der Waals exfoliation,electron,hall,,1e+18,65.4,,"With rinsing Ga concentration in GaInSnO multilayers, the µeff of fabricated FET decrease, while the SS increase."
v56,2f51cf6fa4137e10.md,,,,,,mocvd,hole,,,,,50000.0,high-quality p-type β-Ga O thin films grown on r-plane sapphire substrate by metalorganic chemical vapor deposition (MOCVD) exhibit ρ = 5×104 Ω·cm resistivity at room temperature.
v56,2f51cf6fa4137e10.md,,,,,,mocvd,hole,hall,,,,10000.0,"post-annealing in an oxygen atmosphere can result in room-temperature hole conductivity (ρ = 1×104 Ω·cm) in Ga O /c-Al O , thanks to the appearance of a shallow acceptor level with 0.17 eV activation energy."
v56,374d4359bb092fb8.md,,,,,,pulsed electron deposition,,,,,,10000000.0,"The undoped films show a pure β-Ga2O3 phase with high crystallinity and an insulating nature, reporting resistivity values higher than 107 Ω cm."
v56,374d4359bb092fb8.md,,Sn,,,,pulsed electron deposition,electron,,,,,100000.0,"The introduction of Sn leads to the formation of films including both κ- and β-Ga2O3, with an electrical resistivity of approximately 10⁵ Ω cm."
v56,374d4359bb092fb8.md,,Ge,,,,pulsed electron deposition,electron,,,,,1000000.0,"The doping with Ge results in the formation of high-quality β-Ga2O3 layers, but with high resistivity (~106 Ω cm)."
v56,374d4359bb092fb8.md,,Zr,,,,pulsed electron deposition,electron,,,,,5.0,"Zr is identified as the most effective dopant, resulting in the formation of single-phase epitaxial β-Ga2O3 films with low resistivity (~5 Ω cm)."
v56,3f2633329692e3d4.md,,Sn,,,,pambe,electron,hall,,2e+20,,,Sndoping concentration saturated at about 2×1020cm−3 at higher Sn cell temperatures.
v56,3f2633329692e3d4.md,,Sn,,,,mocataxy,electron,hall,,3.9e+16,136.0,,maximum room temperature Hall mobility of 136cm2/Vs at 3.9×1016cm−3.
v56,3f2633329692e3d4.md,,Sn,,,,mocataxy,electron,hall,,2.3e+19,,,a wider range of donor concentrations from 3.9×1016cm−3 to 2.3×1019cm−3
v56,45bed14a3f7af34c.md,,,,,,mocvd,hole,hall,O/Ga(6400),4500000000000000.0,30.0,,"the layer grown under oxygen-rich conditions (O/Ga = 6400) exhibited ... a two order of magnitude increase in hole concentration (p = 4.5×1015 cm-3 vs. 4.6×1013 cm-3 at 570 K), associated with a shallow acceptor level with an activation energy of 0.21 eV"
v56,45bed14a3f7af34c.md,,,,,,mocvd,hole,hall,O/Ga(2700),46000000000000.0,30.0,,"the layer grown under oxygen-rich conditions (O/Ga = 6400) exhibited ... a two order of magnitude increase in hole concentration (p = 4.5×1015 cm-3 vs. 4.6×1013 cm-3 at 570 K), associated with a shallow acceptor level with an activation energy of 0.21 eV"
v56,5d1b142c691ff669.md,,,,,,mocvd,hole,hall,,1e+17,,50000.0,high-quality p-type β-Ga2O3 thin films grown on r-plane sapphire substrate by metalorganic chemical vapor deposition (MOCVD) exhibit ρ = 5×104 Ω·cm resistivity at room temperature.
v56,65d74fb8cf3ab918.md,,Sn,,,,mist-CVD,electron,hall,,1e+17,65.0,,"With Sn doping, mobile electron densities of n(cid:3)1017-1019/cm3 were achieved, with the highest reported electron mobility of 65cm2/Vs at n(cid:3)1:2(cid:5)1018/cm3 at room temperature."
v56,65d74fb8cf3ab918.md,,Si,,,,mist-CVD,electron,hall,,3e+18,32.0,,For Si doping n(cid:3)1018-1019/cm3 was achieved with a room temperature mobility of l (cid:3)32cm2/Vs for n(cid:3)3(cid:5)1018/cm3.
v56,78493e228449cb64.md,,Zn,,0.25,at%,czochralski,hole,,,1e+18,,,"measured concentrations >1×1018 atoms/cm3 and electrical measurements that show resistivity 1011–1013 Ωcm, with no p-type conduction."
v56,905ef0de57029a43.md,,Zn,,0.25,at%,czochralski,hole,,,1e+18,,100000000000.0,"resistivity 1011–1013Ωcm, with no p-type conduction."
v56,91c57c8f8bf8b60e.md,,Zn,,9.7,at%,ALD,electron,hall,Ga/Zn=7:1,1.2e+18,12.5,0.35,"The carrier concentration, the carrier mobility, and the conductivity of the samples were measured via the Hall-effect measurement (Ecopia, HMS-3000) at room temperature under a magnetic field of 0.58T."
v56,91c57c8f8bf8b60e.md,,Zn,,13.3,at%,ALD,electron,hall,Ga/Zn=5:1,2.1e+18,15.3,0.28,"The carrier concentration, the carrier mobility, and the conductivity of the samples were measured via the Hall-effect measurement (Ecopia, HMS-3000) at room temperature under a magnetic field of 0.58T."
v56,91c57c8f8bf8b60e.md,,Zn,,24.65,at%,ALD,electron,hall,Ga/Zn=3:1,3.8e+18,18.7,0.19,"The carrier concentration, the carrier mobility, and the conductivity of the samples were measured via the Hall-effect measurement (Ecopia, HMS-3000) at room temperature under a magnetic field of 0.58T."
v56,936cb158e5f639a8.md,,Si,,0.01,at%,pulsed laser deposition,electron,hall,,4.6e+18,20.7,,0.01% 4.6×1018 20.7 18.6
v56,936cb158e5f639a8.md,,Si,,0.03,at%,pulsed laser deposition,electron,hall,,1.5e+19,47.5,,0.03% 1.5×1019 47.5 111
v56,936cb158e5f639a8.md,,Si,,0.1,at%,pulsed laser deposition,electron,hall,,3.8e+19,62.1,,Si 0.1% 3.8×1019 62.1 378
v56,936cb158e5f639a8.md,,Si,,0.5,at%,pulsed laser deposition,electron,hall,,1.1e+20,75.0,,0.5% 1.1×1020 75.0 1322
v56,936cb158e5f639a8.md,,Si,,1.0,at%,pulsed laser deposition,electron,hall,,2.6e+20,60.5,,1% 2.6×1020 60.5 2500
v56,9ab7a4014b38c430.md,,Ge,,1.0,at%,sputtering,electron,cv,,1e+18,,,"thick RS-deposited films, using both undoped and 1at% Ge (n-type) doped sintered targets — demonstrated high net carrier concentrations (via C-V)"
v56,9ab7a4014b38c430.md,,,,,,sputtering,electron,hall,,,,1000.0,transmission line measurements (TLM) showed very high resistivity
v56,9f6ad2aee8cda6c8.md,,Sn,,,,mist-CVD,electron,hall,,1e+17,65.0,,Carrier concentration of Sn-doped α-Ga2O3 films is controlled in the range of 1017–1019cm-3 by changing the Sn/Ga concentration ratio in source solution.
v56,9f6ad2aee8cda6c8.md,,Sn,,,,mist-CVD,electron,hall,,1e+18,65.0,,Carrier concentration of Sn-doped α-Ga2O3 films is controlled in the range of 1017–1019cm-3 by changing the Sn/Ga concentration ratio in source solution.
v56,9f6ad2aee8cda6c8.md,,Sn,,,,mist-CVD,electron,hall,,1e+19,65.0,,Carrier concentration of Sn-doped α-Ga2O3 films is controlled in the range of 1017–1019cm-3 by changing the Sn/Ga concentration ratio in source solution.
v56,9f6ad2aee8cda6c8.md,,,,,,mist-CVD,electron,hall,,1e+17,65.0,,"α-Ga2O3 films on m-plane sapphires with the thickness of 2μm show mobilities as high as 65cm2(Vs)-1, which is much higher than previously reported value of 24cm2(Vs)-1 in the films grown on c-plane sapphire."
v56,9f6ad2aee8cda6c8.md,,,,,,mist-CVD,electron,hall,,1e+18,65.0,,"α-Ga2O3 films on m-plane sapphires with the thickness of 2μm show mobilities as high as 65cm2(Vs)-1, which is much higher than previously reported value of 24cm2(Vs)-1 in the films grown on c-plane sapphire."
v56,9f6ad2aee8cda6c8.md,,,,,,mist-CVD,electron,hall,,1e+19,65.0,,"α-Ga2O3 films on m-plane sapphires with the thickness of 2μm show mobilities as high as 65cm2(Vs)-1, which is much higher than previously reported value of 24cm2(Vs)-1 in the films grown on c-plane sapphire."
v56,9f8511dc226aa486.md,,Sn,,,,movpe,electron,hall,,5e+17,10.0,,"conductivity and Hall effect measurements, showing a tunable free carrier concentration, n, between 5 9 1017 and 2 9 1018 cm-3, with a maximum electron mobility, l, of *40 cm2/Vs."
v56,9f8511dc226aa486.md,,Sn,,,,movpe,electron,hall,,2e+18,40.0,,"conductivity and Hall effect measurements, showing a tunable free carrier concentration, n, between 5 9 1017 and 2 9 1018 cm-3, with a maximum electron mobility, l, of *40 cm2/Vs."
v56,9f8511dc226aa486.md,,Sn,,,,movpe,electron,hall,,1e+18,41.0,,"The maximum mobility of 41 cm2/Vs, measured in a sample with free carrier concentration of 1 9 1018 cm-3, represents the highest value reported for b-Ga O layers grown by MOVPE so far."
v56,a477f8a7811bba2d.md,,Cr,,,,edge-defined film-fed growth (EFG),electron,hall,,1e+18,,,The electron carrier concentration in the Ga O wafer is ~ 1.0 × 1018 cm-3 according to the Hall measurement.
v56,b20646bc4201a5ff.md,,Si,Ta,,,pulsed laser deposition,electron,hall,S1,1.12e+20,,,The Si and Ta co-doped Ga2O3 film on Ga2O3 substrate possessed the best crystal quality with a high carrier concentration of 1.12×1020cm−3 and a conductivity of 2.13S·cm−1 compared to the sapphire and quartz substrates.
v56,b20646bc4201a5ff.md,,Si,Ta,,,pulsed laser deposition,electron,conductivity,S1,1.12e+20,,0.469,The Si and Ta co-doped Ga2O3 film on Ga2O3 substrate possessed the best crystal quality with a high carrier concentration of 1.12×1020cm−3 and a conductivity of 2.13S·cm−1 compared to the sapphire and quartz substrates.
v56,b22c405bc6ab207e.md,,,,,,sputtering,electron,,,,,7000.0,The lowest electrical resistivity of 7 × 10³ Ω·cm was obtained for films deposited on sapphire at a temperature of 585 °C.
v56,b437c7a900682ce3.md,,Mg,Te,,,mocvd,hole,hall,T1,1.78e+17,5.29,32.4,"a room-temperature resistivity of 32.4 Ω⋅cm, a Hall hole concentration of 1.78 ×101 7 cm− 3 , and mobilities up to 5.29 cm2 V− 1 s− 1 at lower carrier concentrations (5.72 ×1014 cm− 3 )."
v56,b437c7a900682ce3.md,,Mg,Te,,,mocvd,hole,hall,T1,572000000000000.0,5.29,,mobilities up to 5.29 cm2 V− 1 s− 1 is achieved at a carrier concentration of 5.72 ×1014 cm− 3 .
v56,bbe1f1bc0151f319.md,,Si,,,,molecular beam epitaxy,electron,hall,,1e+17,125.0,,with a peak value >125 cm2/Vs at a doping density of low-1017/cm3
v56,bbe1f1bc0151f319.md,,Si,,,,molecular beam epitaxy,electron,hall,,1e+16,,,"When the power was lowered from 300 to 250 W, the Si density decreased to 1e16/cm3."
v56,bbe1f1bc0151f319.md,,Si,,,,molecular beam epitaxy,electron,hall,,4e+19,,,"At 950°C, a lower concentration (~4e19/cm3) is achieved, but a peak rather than a plateau is observed."
v56,bbe1f1bc0151f319.md,,Si,,,,molecular beam epitaxy,electron,hall,,1.2e+20,,,"Comparing 1050 and 1000°C, a change from 1.5 to 1.2e20/cm3 is observed."
v56,bbe1f1bc0151f319.md,,Si,,,,molecular beam epitaxy,electron,hall,,1.5e+20,,,"Comparing 1050 and 1000°C, a change from 1.5 to 1.2e20/cm3 is observed."
v56,bbe1f1bc0151f319.md,,Si,,,,molecular beam epitaxy,electron,hall,,2e+18,,,"At T_Si = 900°C, the Si background density is 2e18/cm3."
v56,bbe1f1bc0151f319.md,,Si,,,,molecular beam epitaxy,electron,hall,,5.3e+18,,,"The silicon cell shutter was opened for 2 s to investigate delta doping, and the density increased to 5.3e18/cm3."
v56,c2dff65547dcf519.md,,,,,,MOCVD,hole,estimate,,8.5e+17,,,"a hole concentration of 8.5 × 1017, 8.7 × 1011, and 2.7 × 10-9 cm-3, respectively, at room temperature without the use of external dopants."
v56,c2dff65547dcf519.md,,,,,,pulsed laser deposition,hole,estimate,,20000000000000.0,0.2,,the pulsed laser deposition grown samples exhibited a hole concentration about 2 × 1013 cm-3 and a hole mobility of ~0.2 cm2V-1s-1 at room temperature.
v56,c2dff65547dcf519.md,,,,,,MOCVD,hole,estimate,,300000000000000.0,,,β-Ga O films grown by MOCVD followed by an annealing process was reported to exhibit a hole concentrations of ~3 × 1014 cm-3 at room temperature.
v56,cb9466dbac4a24ff.md,,Si,,,,hvpe,hole,hall,,87000000000000.0,80.0,,majority of the free carries at the surface have been determined to be holes with a sheet concentration of p ~ 8.7×1013 cm-2 and a puzzlingly high mobility value of µ ~ 80 cm2/(V·s) at room T.
v56,cb9466dbac4a24ff.md,,Si,,,,hvpe,hole,hall,,60000000000000.0,,,p ~ 6×1013 – 1014 cm-2 in the temperature range of 80 – 700 K.
v56,d9500057287e33d9.md,,Sn,,,,mist-CVD,electron,,A,1e+18,,13.0,"For sample A, we obtain q¼1.3×10¹ X cm compared to q¼4.1×10⁵ X cm for the undoped sample."
v56,d9500057287e33d9.md,,Sn,,,,mist-CVD,electron,,D,2e+19,,0.2,"The q decreases further with increasing doping levels (sample B and C), then diminishes slightly when the dopant concentration reaches N_D = 2×10¹⁹ cm⁻³ (sample D), and then returns to a higher value, N_D = 1×10²⁰ cm⁻³, for sample E*."
v56,d9500057287e33d9.md,,Sn,,,,mist-CVD,electron,,E*,1e+20,,0.2,"The q decreases further with increasing doping levels (sample B and C), then diminishes slightly when the dopant concentration reaches N_D = 2×10¹⁹ cm⁻³ (sample D), and then returns to a higher value, N_D = 1×10²⁰ cm⁻³, for sample E*."
v56,ec3fc6d0e0ba6300.md,,Si,,,,mocvd,electron,hall,,6.5e+17,,,"Hall measurements reveal n-type nature with carrier concentrations of 6.5×10^17, 3.2×10^18, and 3.9×10^18 atom/cm³, respectively."
v56,ec3fc6d0e0ba6300.md,,Si,,,,mocvd,electron,hall,,3.2e+18,,,"Hall measurements reveal n-type nature with carrier concentrations of 6.5×10^17, 3.2×10^18, and 3.9×10^18 atom/cm³, respectively."
v56,ec3fc6d0e0ba6300.md,,Si,,,,mocvd,electron,hall,,3.9e+18,,,"Hall measurements reveal n-type nature with carrier concentrations of 6.5×10^17, 3.2×10^18, and 3.9×10^18 atom/cm³, respectively."
v56,eeab74d0dd69847e.md,,Zn,,9.7,at%,ALD,electron,hall,Ga/Zn=7:1,1.2e+18,12.5,0.45,"The carrier concentration, the carrier mobility, and the conductivity of the samples were measured via the Hall-effect measurement (Ecopia, HMS-3000) at room temperature under a magnetic field of 0.58T."
v56,eeab74d0dd69847e.md,,Zn,,13.3,at%,ALD,electron,hall,Ga/Zn=5:1,2.1e+18,15.3,0.32,"The carrier concentration, the carrier mobility, and the conductivity of the samples were measured via the Hall-effect measurement (Ecopia, HMS-3000) at room temperature under a magnetic field of 0.58T."
v56,eeab74d0dd69847e.md,,Zn,,24.65,at%,ALD,electron,hall,Ga/Zn=3:1,3.8e+18,18.7,0.19,"The carrier concentration, the carrier mobility, and the conductivity of the samples were measured via the Hall-effect measurement (Ecopia, HMS-3000) at room temperature under a magnetic field of 0.58T."
phase77,10.1002/advs.202518859,10.1002/advs.202518859,Si,,,at%,C-V (capacitance-voltage) analysis of SB,,Hall,,1.3e+16,,,phase77_ingest
phase77,10.1002/advs.202518859,10.1002/advs.202518859,Si,,,at%,HVPE epitaxy (post-growth carrier concen,,Hall,,1.9e+16,,,phase77_ingest
phase77,10.1002/advs.202518859,10.1002/advs.202518859,Sn,,,at%,single-crystal wafer (bulk substrate car,,Hall,,5e+18,,,phase77_ingest
phase77,10.1002/aelm.202500719,10.1002/aelm.202500719,Te,,,at%,MOCVD (homoepitaxy),,Hall,,1.78e+17,5.29,,phase77_ingest
phase77,10.1002/aelm.202500719,10.1002/aelm.202500719,Te,,,at%,MOCVD (homoepitaxy),,Hall,,572000000000000.0,,,phase77_ingest
phase77,10.1002/pssa.201900632,10.1002/pssa.201900632,Sn,,,at%,mist-CVD (mist chemical vapor deposition,,Hall,,1e+17,,,phase77_ingest
phase77,10.1002/pssa.201900632,10.1002/pssa.201900632,Sn,,,at%,"mist-CVD, two-step growth, m-plane sapph",,Hall,,,65.0,,phase77_ingest
phase77,10.1002/pssb.202400473,10.1002/pssb.202400473,In,,,at%,melt growth (Czochralski / vertical grad,,Hall,,1e+16,,,phase77_ingest
phase77,10.1016/j.jmrt.2022.10.182,10.1016/j.jmrt.2022.10.182,N,,,at%,thermal oxidation of GaN in N2O ambient,,Hall,,1.64e+17,4.98,,phase77_ingest
phase77,10.1016/j.mssp.2025.110003,10.1016/j.mssp.2025.110003,undoped,,,at%,MOCVD homoepitaxy on (2-01) Fe-doped β-G,,Hall,,4500000000000000.0,,,phase77_ingest
phase77,10.1016/j.mssp.2025.110003,10.1016/j.mssp.2025.110003,undoped,,,at%,MOCVD homoepitaxy on (2-01) Fe-doped β-G,,Hall,,46000000000000.0,,,phase77_ingest
